Ir. szám;Település;Településrész
1028;Budapest II. kerület;Pesthidegkút
1029;Budapest II. kerület;Adyliget
1029;Budapest II. kerület;Máriaremete
1163;Budapest XVI. kerület;Sashalom
1165;Budapest XVI. kerület;Mátyásföld
1174;Budapest XVII. kerület;Helikopter-lakópark
1184;Budapest XVIII. kerület;Pestszentlõrinc
1186;Budapest XVIII. kerület;Pestszentlõrinc
1188;Budapest XVIII. kerület;Pestszentimre
1221;Budapest XXII. kerület;Budafok
1223;Budapest XXII. kerület;Budafok
1223;Budapest XXII. kerület;Budatétény
1224;Budapest XXII. kerület;Nagytétény
1225;Budapest XXII. kerület;Nagytétény
2021;Tahitótfalu;Tótfalu
2022;Tahitótfalu;Tahi
2026;Visegrád;Gizellatelep
2035;Érd;Érdparkváros
2036;Érd;Érdliget
2042;Budaörs;Kamaraerdõ
2087;Piliscsaba;Klotildliget
2099;Pilisszentkereszt;Dobogókõ
2102;Gödöllõ;Máriabesnyõ
2131;Göd;Alsógöd
2132;Göd;Felsõgöd
2145;Kerepes;Szilasliget
2241;Sülysáp;Tápiósüly
2242;Sülysáp;Tápiósáp
2371;Dabas;Sári
2373;Dabas;Gyón
2407;Dunaújváros;Pálhalma
2427;Baracs;Apátszállás
2453;Ercsi;Sinatelep
2484;Gárdony;Agárd
2485;Gárdony;Dinnyés
2508;Esztergom;Pilisszentlélek
2537;Nyergesújfalu;Viscosa
2640;Szendehely;Katalinpuszta
2738;Cegléd;Budai út
2835;Tata;Agostyán
2879;Kisbér;Hánta
2903;Komárom;Koppánymonostor
2921;Komárom;Szõny
3022;Lõrinci;Mátravidéki erõmû
3024;Lõrinci;Selyp
3065;Pásztó;Hasznos
3071;Bátonyterenye;Nagybátony
3078;Bátonyterenye;Kisterenye
3082;Pásztó;Mátrakeresztes
3102;Salgótarján;Baglyasalja
3104;Salgótarján;Zagyvapálfalva
3109;Salgótarján;Salgóbánya
3141;Salgótarján;Zagyvaróna
3144;Mátranovák;Bányatelep
3145;Mátraterenye;Homokterenye
3146;Mátraterenye;Nádújfalu
3147;Kazár;Mizserfa
3221;Gyöngyös;Kékestetõ
3232;Gyöngyös;Mátrafüred
3233;Gyöngyös;Mátraháza
3234;Mátraszentimre;Galyatetõ
3244;Parád;Parádfürdõ
3272;Visonta;Mátrai Erõmû
3304;Eger;Felnémet
3508;Miskolc;Görömböly
3508;Miskolc;Hejõcsaba
3509;Miskolc;Újdiósgyõr
3510;Miskolc;Bükkszentlászló
3510;Miskolc;Lyukó
3510;Miskolc;Pereces
3510;Miskolc;Szarkahegy
3511;Miskolc;Diósgyõr
3515;Miskolc;Egyetemváros
3516;Miskolc;Görömböly
3517;Miskolc;Lillafüred
3518;Miskolc;Pereces
3519;Miskolc;Tapolca
3519;Miskolc;Tapolcafürdõ
3521;Miskolc;Szirma
3524;Miskolc;Avas
3528;Miskolc;Martinkertváros
3530;Miskolc;Avas
3585;Tiszaújváros;Óváros
3603;Ózd;Sajóvárkony
3604;Ózd;Bánszállás
3621;Ózd;Uraj
3625;Ózd;Szentsimon
3651;Ózd;Center
3661;Ózd;Hódoscsépány
3662;Ózd;Somsálybánya
3672;Borsodnádasd;Lemezgyár
3783;Edelény;Finke
3860;Encs;Fügöd
3860;Encs ;Abaújdevecser
3923;Gesztely;Újharangod
3944;Sátoraljaújhely;Károlyfalva
3945;Sátoraljaújhely;Rudabányácska
3988;Sátoraljaújhely;Széphalom
4002;Debrecen;Dombos
4002;Debrecen;Kismacs
4014;Debrecen;Pallag
4022;Debrecen;Tégláskert
4063;Debrecen;Nagymacs
4067;Egyek;Telekháza
4074;Hajdúböszörmény;Nagypród
4078;Debrecen;Haláp
4079;Debrecen;Bánk
4085;Hajdúnánás;Tedej
4086;Hajdúböszörmény;Hajdúvid
4103;Berettyóújfalu;Berettyószentmárton
4162;Szerep;Hosszúhát
4224;Hajdúböszörmény;Bodaszõlõ
4225;Debrecen;Józsa
4246;Nyíregyháza;Butykatelep
4252;Nyíradony;Tamásipuszta
4253;Nyíradony;Aradványpuszta
4281;Létavértes;Nagyléta
4283;Létavértes;Vértes
4405;Nyíregyháza;Borbánya
4413;Nyíregyháza;Jósaváros
4431;Nyíregyháza;Sóstófürdõ
4432;Nyíregyháza;Nyírszõlõs
4433;Nyíregyháza;Felsõsima
4435;Nyíregyháza;Rozsrétszõlõs
4446;Tiszaeszlár;Bashalom
4447;Tiszalök;Kisfástanya
4471;Gávavencsellõ;Gáva
4472;Gávavencsellõ;Vencsellõ
4481;Nyíregyháza;Sóstóhegy
4486;Tiszatelek;Kétérköz
4551;Nyíregyháza;Oros
4803;Vásárosnamény;Gergelyiugornya
4804;Vásárosnamény;Vitka
5008;Szolnok;Szandaszõllõs
5095;Tiszavárkony;Tiszavárkonyi-Szõlõk
5152;Jászberény;Portelek
5212;Törökszentmiklós;Surjány
5213;Fegyvernek;Szapárfalu
5323;Tiszaszentimre;Újszentgyörgy
5349;Kenderes;Bánhalma
5358;Tiszafüred;Tiszaörvény
5359;Tiszafüred;Kócsújfalu
5449;Kunszentmárton;Kungyalu
5461;Tiszaföldvár;Homok
5501;Gyomaendrõd;Gyoma
5502;Gyomaendrõd;Endrõd
5623;Békéscsaba;Gerla
5664;Medgyesbodzás;Gábortelep
5671;Békéscsaba;Mezõmegyer
5703;Gyula;József Attila szanatórium
5711;Gyula;Gyulavári
5722;Sarkad;Cukorgyár
5752;Medgyesegyháza;Bánkút
5903;Orosháza;Rákóczitelep
5904;Orosháza;Gyopárosfürdõ
5905;Orosháza;Szentetornya
6008;Kecskemét;Méntelek
6044;Kecskemét;Hetényegyháza
6062;Tiszakécske;Tiszabög
6066;Tiszaalpár;Alpár
6067;Tiszaalpár;Tiszaújfalú
6327;Harta;Állampuszta
6503;Baja;Bajaszentistván
6648;Csongrád;Bokros
6710;Szeged;Szentmihály
6728;Szeged;Baktó
6729;Szeged;Tompasziget
6753;Szeged;Tápé
6757;Szeged;Gyálarét
6771;Szeged;Szõreg
6791;Szeged;Kiskundorozsma
6806;Hódmezõvásárhely;Szikáncs
6903;Makó;Rákos
7003;Sárbogárd;Sárszentmiklós
7018;Sárbogárd;Pusztaegres
7019;Sárbogárd;Sárhatvan
7027;Paks;Dunakömlõd
7131;Tolna;Mözs
7187;Bonyhád;Majos
7300;Komló;Mecsekjánosi
7385;Gödre;Gödreszentmárton
7386;Gödre;Gödrekeresztúr
7409;Kaposvár;Kaposfüred
7557;Barcs;Somogytarnóca
7691;Pécs;Vasas
7693;Pécs;Hird
7693;Pécs;Vasas
7714;Mohács;Újmohács
7715;Mohács;Sárhát
8019;Székesfehérvár;Börgönd
8054;Balinka;Eszény
8103;Várpalota;Inota
8104;Várpalota;Inotai Erõmû
8131;Enying;Balatonbozsok
8171;Balatonvilágos;Balatonaliga
8172;Balatonkenese;Balatonakarattya
8173;Balatonkenese;Üdülõtelep
8182;Berhida;Peremartongyártelep
8184;Balatonfûzfõ;Fûzfõgyártelep
8236;Balatonfüred;Balatonarács
8257;Badacsonytomaj;Badacsonyörs
8261;Badacsonytomaj;Badacsony
8297;Tapolca;Diszel
8411;Veszprém;Kádárta
8412;Veszprém;Gyulafirátót
8447;Ajka;Ajkarendek
8448;Ajka;Bakonygyepes
8451;Ajka;Padragkút
8511;Pápa;Borsosgyõr
8531;Marcaltõ;Ihász
8591;Pápa;Kéttornyúlak
8598;Pápa;Tapolcafõ
8609;Siófok;Balatonszéplak
8611;Siófok;Balatonkiliti
8691;Balatonboglár;Szõlõskislak
8709;Marcali;Horvátkút
8714;Marcali;Bize
8751;Zalakomár;Kiskomárom
8752;Zalakomár;Komárváros
8785;Zalaszentgrót;Zalakoppány
8789;Zalaszentgrót;Zalaudvarnok
8793;Zalaszentgrót;Tekenye
8795;Zalaszentgrót;Csáford
8808;Nagykanizsa;Palin
8809;Nagykanizsa;Sánc
8831;Nagykanizsa;Miklósfa
8904;Zalaegerszeg;Andráshida
8908;Zalaegerszeg;Szanatórium
8966;Lenti;Lentikápolna
9010;Gyõr;Bácsa
9011;Gyõr;Gyõrszentiván
9012;Gyõr;Ménfõcsanak
9019;Gyõr;Gyirmót
9025;Gyõr;Pinnyéd
9027;Gyõr;Városrét
9098;Mezõörs;Mindszentpuszta
9183;Mosonszentmiklós;Mosonújhely
9241;Jánossomorja;Mosonszentjános
9242;Jánossomorja;Pusztasomorja
9339;Kapuvár;Öntésmajor
9407;Sopron;Sopronkõhida
9408;Sopron;Brennbergbánya
9433;Fertõd;Tõzeggyármajor
9434;Sarród;Fertõújlak
9438;Sarród;Nyárliget
9494;Sopron;Balf
9541;Celldömölk;Izsákfa
9608;Sárvár;Rábasömjén
9609;Sárvár;Lánkapuszta
9707;Szombathely;Herény
9719;Szombathely;Szentkirály
9740;Bük;Bükfürdõ
9909;Körmend;Horvátnádalja
9955;Szentgotthárd;Rábafüzes
9981;Szentgotthárd;Farkasfa
